feature,importance
answer__q_1b293e4babdc_Social_or_Communication,0.08514172
answer__q_93e10cb84a82_Yes,0.0265044
answer__q_93e10cb84a82_No,0.024115918
answer__q_6bdc905e3f72_Scary_elements_Learn_more,0.023190025
answer__q_fa879063695d_Yes,0.01805629
answer__q_507a4755324a_Yes,0.015991792
answer__q_7711385eb421_No,0.015888976
answer__q_fa879063695d_No,0.015684322
answer__q_a4d0a299c5a1_Yes,0.013365217
answer__q_d6a91ad297c0_Rare,0.013081113
visible_question_count,0.0124103995
answer__q_94281255eeea_No,0.012341145
answer__q_6bdc905e3f72_Horrifying_elements_Learn_more,0.011769615
answer__q_7711385eb421_Yes,0.010979978
answer__q_507a4755324a_No,0.010424028
answer__q_0fdfd05fcf6c_No,0.010331941
answer__q_fc2c78fd7069_Mucus_belching_flatulence_sounds,0.009698722
answer__q_94281255eeea_Yes,0.009161539
answer__q_f48caccfa701_No,0.008478412
content_descriptor_count,0.008391199
answer__q_077c2b7ce4bb_No,0.008169868
answer__q_0cf988b907b0_Any_other_games_that_use_in_app_currency_tokens_to_play_and_can_reward_the_same_currency_through_gameplay_Gambling_themes_Learn_more,0.007876913
answer__q_fc2c78fd7069_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting,0.0077775386
answer__q_f5e28775c7d4_Discriminatory_language_against_race_religion_sex_etc_Minor_profanities_e_g_go_to_hell_Moderate_swearing_or_other_language_or_gestures_that_could_be_consider,0.006673658
answer__q_cadf78f7f22c_Yes,0.0065471227
answer__q_e8892e310c69_Purchases_of_digital_goods_Learn_more,0.0063396767
answer__q_8f58d3d79839_No,0.0063292445
answer__q_cadf78f7f22c_No,0.006316741
answer__q_37593604faab_Yes,0.006247692
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Referred_to,0.00605426
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatu,0.0059359204
answer__q_09670428687d_Yes,0.005868252
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective,0.00576906
answer__q_8df7505e13e7_Realistic,0.005721867
answer__q_0cf988b907b0_Any_other_games_that_use_in_app_currency_tokens_to_play_and_can_reward_the_same_currency_through_gameplay,0.005693296
answer__q_e46f7dbcf100_Often,0.005335597
answer__q_d1e73f127dff_Yes,0.005213802
answer__q_9f0067fa0227_No,0.0051385877
answer__q_0efb748cf130_No,0.004989943
answer__q_70a34d241d26_Unrealistic,0.0049258494
answer__q_48e460900d50_Yes,0.0048820907
answer__q_088ceefc9972_Yes,0.004840029
answer__q_bca3ec5dda43_No,0.004670795
answer__q_297e91b3d442_Dating_Games_Interactive_dating_marriage_or_other_romantic_relationships_between_game_characters_Suggestive_Sexual_Themes_or_References,0.0045786994
answer__q_d46377cd7525_Rarely_depicted_from_a_distant_perspective,0.004344551
answer__q_b7e65fe49e89_Yes,0.0043114917
answer__q_8d336dde8f27_No,0.0042802636
answer__q_a25499512447_Yes,0.0042757005
answer__q_4f8b66a453da_Rarely,0.0042578857
answer__q_5490bceea51a_Yes,0.0042210547
answer__q_d6986c0f5284_Social_used_to_communicate_post_and_share_content_with_large_groups_of_people_or_for_meeting_new_people_Facebook_Twitter_Instagram_Tinder_are_examples_of_the,0.004192164
answer__q_4ae86f2db81e_No,0.0041879835
answer__q_0efb748cf130_Yes,0.004150051
answer__q_1189ea881316_Yes,0.0040084966
answer__q_b5a29f481971_Fantasy_Drugs_Learn_more_Medical_Drugs_Learn_more_Tobacco,0.003976217
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Minor_profanities_e_g_go_to_hell,0.003964388
answer__q_3d60db1bc20c_References_to_sexual_activity_without_descriptive_detail_Learn_more,0.0039530676
answer__q_077c2b7ce4bb_Yes,0.0039422475
answer__q_5ebbe602e5b2_No,0.0038681908
answer__q_a8715c5ee8bf_Yes,0.0038386148
answer__q_4bc85050df07_Yes,0.0037546672
answer__q_19bccb6df9df_Yes_it_has_a_childlike_style_e_g_likely_to_appeal_to_younger_children,0.003676615
answer__q_3441afd60687_Yes,0.0036553622
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Disturbing_or_gory_i_3,0.0036325715
answer__q_587428cb4ee9_Yes,0.0036081797
answer__q_cdc64b3b4d46_No,0.0036081055
answer__q_89d9afb2922c_No,0.0035560932
answer__q_eb8144f44fff_No,0.0033856928
answer__q_ba1ff35ebd9a_Graphic_Detail,0.0033639397
answer__q_0d48c815fd70_Yes,0.0033447351
answer__q_a25499512447_No,0.003330602
answer__q_a015a42d9d10_Yes,0.0033167207
answer__q_4f55609f06a2_Yes,0.003298205
answer__q_1b293e4babdc_Game,0.0032720997
answer__q_6c9ee501b527_Yes,0.003269465
answer__q_4ae86f2db81e_Yes,0.0032567913
answer__q_3f4040ef5ac3_No,0.0031625065
answer__q_f56acd04bdd6_Yes,0.0031512824
answer__q_3e81d7ae3d48_Yes,0.0031013868
answer__q_19bccb6df9df_No,0.0030942855
answer__q_871b0cf50d10_No,0.0030927286
answer__q_9f0067fa0227_Yes,0.0030752262
answer__q_5878d1fe838a_Yes_without_penalties,0.003065327
answer__q_74094f46a402_No,0.0030641193
answer__q_a56e8406d75c_Yes,0.0030620233
answer__q_3116aa449503_No,0.0030445673
answer__q_fdb2f701d9d4_Yes,0.0029795608
answer__q_bd5378991a14_No,0.0029650829
answer__q_5490bceea51a_No,0.002941226
answer__q_f48caccfa701_Yes,0.002929589
answer__q_fdb2f701d9d4_No,0.002877272
answer__q_4e285fcb8276_No,0.0028433942
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc,0.002831573
answer__q_156f495d441a_No,0.0028289426
answer__q_5b8de61634dc_No,0.0028211435
answer__q_311fb1823e38_Reference_Use,0.0027628404
answer__q_5cc1024ee5fb_Yes,0.0027407014
answer__q_0d48c815fd70_No,0.0027402237
answer__q_262cab9814d0_Rarely,0.0027377757
answer__q_156f495d441a_Yes,0.0027303908
answer__q_bca3ec5dda43_Yes,0.0027141531
answer__q_bd5378991a14_Yes,0.0026641772
answer__q_d1e73f127dff_No,0.0026636578
answer__q_55327882e80f_Yes,0.002637207
answer__q_12d7b1d2969c_No,0.002630313
answer__q_e46f7dbcf100_Rarely,0.0026298536
answer__q_e1a4860ee224_Often,0.0026279122
answer__q_25f720b8fa1b_No,0.0026104413
answer__q_e3591aef7dfb_Yes,0.0025922274
answer__q_bae124b0ebd8_No,0.0025488897
answer__q_f1b39181e7b2_Detailed_Instruction_for_Use_Use,0.0025233102
answer__q_6c9ee501b527_No,0.0025221796
answer__q_c3e4fa94aaf4_Fantastical,0.0024893722
answer__q_297e91b3d442_Nudity_or_Revealing_Outfits_Suggestive_Sexual_Themes_or_References,0.0024443073
answer__q_ade703578a13_No,0.0024412174
answer__q_86690295e0c8_Encourages_Glamorizes_Reference_Use,0.0024155753
answer__q_7727cbeee44b_No,0.0024143236
answer__q_d2efcdb297ec_No,0.0024079285
interactive_element_count,0.0023886336
