model,fold,params,param_key,macro_f1,mean_absolute_age_error,severe_error_rate
logistic_regression,1,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'none')]",0.7080339943342776,0.08,0.017777777777777778
logistic_regression,2,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'none')]",0.7300982800982802,0.08444444444444445,0.022222222222222223
logistic_regression,3,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'none')]",0.6451015838357611,0.1288888888888889,0.044444444444444446
logistic_regression,4,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'none')]",0.6216359030112611,0.16964285714285715,0.049107142857142856
logistic_regression,5,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'none')]",0.7185358957035258,0.11607142857142858,0.03125
logistic_regression,1,"{'C': 0.3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.6483514546517379,0.08444444444444445,0.017777777777777778
logistic_regression,2,"{'C': 0.3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.7451546070566243,0.08,0.022222222222222223
logistic_regression,3,"{'C': 0.3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.6119565217391304,0.13777777777777778,0.04
logistic_regression,4,"{'C': 0.3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.6353757225433526,0.14732142857142858,0.04017857142857143
logistic_regression,5,"{'C': 0.3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 0.3), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.7775560696613328,0.12053571428571429,0.03571428571428571
logistic_regression,1,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'none'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'none')]",0.6483514546517379,0.08444444444444445,0.017777777777777778
logistic_regression,2,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'none'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'none')]",0.7378777499121338,0.08888888888888889,0.022222222222222223
logistic_regression,3,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'none'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'none')]",0.6581428571428571,0.12444444444444444,0.04
logistic_regression,4,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'none'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'none')]",0.6529079182105119,0.14285714285714285,0.04017857142857143
logistic_regression,5,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'none'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'none')]",0.7154119793250228,0.125,0.03571428571428571
