authority,trained,skip_reason,sample_count,class_count,min_class_count,feature_count,train_size,test_size,accuracy,macro_f1,weighted_f1,balanced_accuracy
IARC Generic,True,,1322,5,19,1010,1123,199,0.9748743718592965,0.8294327661669397,0.9724000936833262,0.7666666666666666
Entertainment Software Rating Board (ESRB),True,,1322,5,16,1010,1123,199,0.8844221105527639,0.8220081382762359,0.8837091543583342,0.807078431372549
Google Play,True,,1322,6,19,1010,1123,199,0.9597989949748744,0.811103647310544,0.9546979561188537,0.7872034296452902
Pan-European Game Information (PEGI),True,,1322,6,19,1010,1123,199,0.9597989949748744,0.7483656663188732,0.947842204994591,0.7444444444444445
Unterhaltungssoftware Selbstkontrolle (USK),True,,1322,5,11,1010,1123,199,0.9698492462311558,0.7382106931992127,0.9650775334138437,0.7492051371051718
Classificação Indicativa (ClassInd),True,,1322,6,7,1010,1123,199,0.914572864321608,0.6741435035552682,0.9133060259279591,0.6910117660117661
Digital Game Self-regulation Committee (DGSC),True,,514,5,3,557,436,78,0.8974358974358975,0.5854636591478697,0.8969860548807917,0.6763888888888888
Australian Classification Board (ACB),True,,514,6,3,557,436,78,0.9102564102564102,0.5218996689584925,0.9043097425450367,0.5160774818401938
Game Rating and Administration Committee (GRAC),False,min_class_count < 3,514,4,2,0,0,0,,,,
General Authority of Media Regulation (Gmedia),False,min_class_count < 3,514,6,1,0,0,0,,,,
