feature,importance
high_risk_count,0.11372810379760899
medium_risk_count,0.09337173211690156
sexual_content_score,0.073908634942267
answer__sexual_content_no,0.06442736347557665
drug_score,0.057964366416515485
violence_score,0.05255169182133067
answer__drugs_use,0.03650865906740515
answer__drugs_no,0.03453636688298044
answer__violence_no,0.033727963356000194
answer__violence_realistic,0.03339795736242739
fear_score,0.03187095946256482
answer__sexual_content_explicit,0.025192299445453502
answer__purchases_no,0.024909437708627923
answer__sexual_content_suggestive,0.02305052011348177
interaction_score,0.022324412374053793
answer__fear_intense,0.021963681700554256
answer__purchases_yes,0.02153251725955195
answer__fear_no,0.021114231687189813
language_score,0.020907010849859808
answer__blood_not_visible,0.017097275808367673
gambling_score,0.016974152239198917
ugc_score,0.01618035609942362
answer__violence_graphic,0.014957533063089501
visible_question_count,0.014202986629210974
answer__ugc_none,0.01413464498874794
answer__violence_mild,0.01385613447848449
skipped_question_count,0.01372179778720758
answer__gambling_simulated,0.012178385055073706
answer__language_no,0.01210108755591514
triggered_branch_count,0.009544323445390529
answer__gambling_no,0.00916517417736449
answer__ugc_user_generated_content,0.007597603843724896
answer__language_mild,0.005856296286608157
answer__drugs_reference,0.0051217114140744684
answer__language_strong,0.004345072388159376
answer__sexual_content_nudity,0.003312950136155751
answer__ugc_chat,0.002664604763451853
interactive_element_count,0.0
answer__ugc_location_sharing,0.0
answer__blood_no,0.0
answer__gambling_real_money,0.0
answer__fear_mild,0.0
strategy_synthetic_all,0.0
content_descriptor_count,0.0
answer__blood_gore,0.0
